UniProt Accession,Gene Symbol,Protein Name,Expert Opinion,MS,IHC,mRNA
Q14683,SMC1A,Structural maintenance of chromosomes protein 1A,,"saliva: 42/1.64 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,16.8
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,,"saliva: 73/3.05 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,14
P24347,MMP11,Stromelysin-3,,"saliva: 3/0.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P09238,MMP10,Stromelysin-2,,"saliva: 13/2.2 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q13033,STRN3,Striatin-3,,"saliva: 2/0.25 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,12.6
P31948,STIP1,Stress-induced-phosphoprotein 1,,"saliva: 9/0.99 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,22.6
P38646,HSPA9,"Stress-70 protein, mitochondrial",,"saliva: 47/4.82 peptides
parotid gland: 0/0 peptides
sm/sl glands: 3/0.07 peptides",high,31.6
Q9P2F5,STOX2,Storkhead-box protein 2,,"saliva: 45/3.58 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,11
Q8NEQ6,SRARP,Steroid receptor-associated and regulated protein,,"saliva: 3/1.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,8.6
Q8IVG5,SAMD9L,Sterile alpha motif domain-containing protein 9-like,,"saliva: 10/0.13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,8.1
Q9P1V8,SAMD15,Sterile alpha motif domain-containing protein 15,,"saliva: 5/0.76 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,0.8
P16949,STMN1,Stathmin,,"saliva: 40/14.35 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,5.3
P02808,STATH,Statherin,,"saliva: 189/100.73 peptides
parotid gland: 461/265.55 peptides
sm/sl glands: 606/801.72 peptides",high,5940.6
Q9P2P6,STARD9,StAR-related lipid transfer protein 9,,"saliva: 77/1.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,2.7
P52823,STC1,Stanniocalcin-1,,"saliva: 0/0 peptides
parotid gland: 3/0.1 peptides
sm/sl glands: 0/0 peptides",not detected,6.8
Q9UPE1,SRPK3,SRSF protein kinase 3,,"saliva: 6/0.95 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,2.9
Q96BD6,SPSB1,SPRY domain-containing SOCS box protein 1,,"saliva: 4/1.07 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,9.6
Q8NCJ5,SPRYD3,SPRY domain-containing protein 3,,"saliva: 37/6.11 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,23.3
Q6ZMY3,SPOCD1,SPOC domain-containing protein 1,,"saliva: 29/2.33 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q12872,SFSWAP,"Splicing factor, suppressor of white-apricot homolog",,"saliva: 10/0.58 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,22.1
Q9H7N4,SCAF1,"Splicing factor, arginine/serine-rich 19",,"saliva: 44/1.25 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,20.8
P26368,U2AF2,Splicing factor U2AF 65 kDa subunit,,"saliva: 2/0.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8N0Z3,SPICE1,Spindle and centriole-associated protein 1,,"saliva: 5/0.39 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,15
Q8IWX5,SGPP2,Sphingosine-1-phosphate phosphatase 2,,"saliva: 69/19.61 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,8.6
Q9BVQ7,SPATA5L1,Spermatogenesis-associated protein 5-like protein 1,,"saliva: 2/0.2 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,9.4
Q6ZQQ2,SPATA31D1,Spermatogenesis-associated protein 31D1,,"saliva: 3/0.14 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BXB7,SPATA16,Spermatogenesis-associated protein 16,,"saliva: 48/5.4 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5JUK2,SOHLH1,Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1,,"saliva: 3/1.02 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6Q759,SPAG17,Sperm-associated antigen 17,,"saliva: 22/0.12 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q07617,SPAG1,Sperm-associated antigen 1,,"saliva: 89/5.97 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,6.1
Q9C093,SPEF2,Sperm flagellar protein 2,,"saliva: 64/1.56 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,4.7
Q9NRC6,SPTBN5,"Spectrin beta chain, non-erythrocytic 5",,"saliva: 333/6.08 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,6.8
Q9H254,SPTBN4,"Spectrin beta chain, non-erythrocytic 4",,"saliva: 27/0.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,2.2
O15020,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",,"saliva: 27/0.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,13.4
Q01082,SPTBN1,"Spectrin beta chain, non-erythrocytic 1",,"saliva: 654/18.65 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,26.8
P11277,SPTB,"Spectrin beta chain, erythrocytic",,"saliva: 12/0.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.9
Q13813,SPTAN1,"Spectrin alpha chain, non-erythrocytic 1",,"saliva: 5/0.13 peptides
parotid gland: 3/0.01 peptides
sm/sl glands: 0/0 peptides",high,16.7
P02549,SPTA1,"Spectrin alpha chain, erythrocytic 1",,"saliva: 6/0.13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UBP0,SPAST,Spastin,,"saliva: 2/0.29 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,9.3
Q8N0X7,SPART,Spartin,,"saliva: 2/0.23 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,11.9
Q14515,SPARCL1,SPARC-like protein 1,,"saliva: 479/47.96 peptides
parotid gland: 14/0.41 peptides
sm/sl glands: 196/19.76 peptides",not detected,31.5
Q9Y5X1,SNX9,Sorting nexin-9,,"saliva: 5/0.65 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,25.2
O95219,SNX4,Sorting nexin-4,,"saliva: 203/28.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,17.8
Q96L92,SNX27,Sorting nexin-27,,"saliva: 4/0.82 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,9.7
Q9H3E2,SNX25,Sorting nexin-25,,"saliva: 32/2.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,2.8
Q92543,SNX19,Sorting nexin-19,,"saliva: 51/6.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,23.1
Q92673,SORL1,Sortilin-related receptor,,"saliva: 3/0.14 peptides
parotid gland: 3/0.01 peptides
sm/sl glands: 2/0.02 peptides",medium,14.7
Q99523,SORT1,Sortilin,,"saliva: 8/0.92 peptides
parotid gland: 3/0.03 peptides
sm/sl glands: 2/0.06 peptides",not detected,11.8
O94875,SORBS2,Sorbin and SH3 domain-containing protein 2,,"saliva: 26/1.59 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,17.9
Q07890,SOS 2,Son of sevenless homolog 2,,"saliva: 8/0.47 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,14.3
Q7LBE3,SLC26A9,Solute carrier family 26 member 9,,"saliva: 17/2.58 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,108.4
O95528,SLC2A10,"Solute carrier family 2, facilitated glucose transporter member 10",,"saliva: 163/39.06 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,11.5
Q9Y666,SLC12A7,Solute carrier family 12 member 7,,"saliva: 6/0.77 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,10.9
Q8WVQ1,CANT1,Soluble calcium-activated nucleotidase 1,,"saliva: 0/0 peptides
parotid gland: 11/0.25 peptides
sm/sl glands: 6/0.36 peptides",high,30.3
Q13733,ATP1A4,Sodium/potassium-transporting ATPase subunit alpha-4,,"saliva: 112/10.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.2
P13637,ATP1A3,Sodium/potassium-transporting ATPase subunit alpha-3,,"saliva: 0/0 peptides
parotid gland: 7/0.06 peptides
sm/sl glands: 3/0.07 peptides",not detected,2.2
Q4G0N8,SLC9C1,Sodium/hydrogen exchanger 10,,"saliva: 32/2.85 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6U841,SLC4A10,Sodium-driven chloride bicarbonate exchanger,,"saliva: 10/0.89 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1
Q08357,SLC20A2,Sodium-dependent phosphate transporter 2,,"saliva: 203/32.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,90.6
Q9H1V8,SLC6A17,Sodium-dependent neutral amino acid transporter SLC6A17,,"saliva: 2/0.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.2
P48065,SLC6A12,Sodium- and chloride-dependent betaine transporter,,"saliva: 133/29.38 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,0.6
Q15858,SCN9A,Sodium channel protein type 9 subunit alpha,,"saliva: 56/2.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,1.8
Q9UQD0,SCN8A,Sodium channel protein type 8 subunit alpha,,"saliva: 8/0.36 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14524,SCN5A,Sodium channel protein type 5 subunit alpha,,"saliva: 3/0.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UI33,SCN11A,Sodium channel protein type 11 subunit alpha,,"saliva: 21/1.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y5Y9,SCN10A,Sodium channel protein type 10 subunit alpha,,"saliva: 2/0.12 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8NBS3,SLC4A11,Sodium bicarbonate transporter-like protein 11,,"saliva: 13/1.68 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,34.4
Q8NCG7,DAGLB,Sn1-specific diacylglycerol lipase beta,,"saliva: 166/29.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,34.1
P53814,SMTN,Smoothelin,,"saliva: 91/7.23 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,4.6
Q8IX21,SLF2,SMC5-SMC6 complex localization factor protein 2,,"saliva: 392/21.77 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,3.8
O75691,UTP20,Small subunit processome component 20 homolog,,"saliva: 18/0.46 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UBC9,SPRR3,Small proline-rich protein 3,,"saliva: 3283/1149.6 peptides
parotid gland: 1137/179 peptides
sm/sl glands: 675/284.18 peptides",not detected,93.4
Q9BYE4,SPRR2G,Small proline-rich protein 2G,,"saliva: 272/286.8 peptides
parotid gland: 15/5.35 peptides
sm/sl glands: 8/7.58 peptides",?,0.8
P35326,SPRR2A,Small proline-rich protein 2A,,"saliva: 648/604 peptides
parotid gland: 39/9.74 peptides
sm/sl glands: 23/14.85 peptides",?,58.3
O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,,"saliva: 23/8.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,31.9
Q9NR83,SLC2A4RG,SLC2A4 regulator,,"saliva: 26/2.36 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,14.7
P12757,SKIL,Ski-like protein,,"saliva: 6/0.67 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,14.2
P84550,SKOR1,SKI family transcriptional corepressor 1,,"saliva: 12/1.38 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,0.7
Q9NTI5,PDS5B,Sister chromatid cohesion protein PDS5 homolog B,,"saliva: 6/0.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q29RF7,PDS5A,Sister chromatid cohesion protein PDS5 homolog A,,"saliva: 30/0.68 peptides
parotid gland: 0/0 peptides
sm/sl glands: 3/0.04 peptides",n/a,n/a
Q96FS4,SIPA1,Signal-induced proliferation-associated protein 1,,"saliva: 10/1.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,8.7
O60292,SIPA1L3,Signal-induced proliferation-associated 1-like protein 3,,"saliva: 13/0.6 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,14.1
Q9P2F8,SIPA1L2,Signal-induced proliferation-associated 1-like protein 2,,"saliva: 14/0.68 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,3.3
O43166,SIPA1L1,Signal-induced proliferation-associated 1-like protein 1,,"saliva: 3/0.12 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,7.6
P42224,STAT1,Signal transducer and activator of transcription 1-alpha/beta,,"saliva: 35/3.63 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,47.5
Q8TCT7,SPPL2B,Signal peptide peptidase-like 2B,,"saliva: 3/0.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5T5P2,KIAA1217,Sickle tail protein homolog,,"saliva: 12/0.65 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,28.8
Q9BZZ2,SIGLEC1,Sialoadhesin,,"saliva: 128/8.95 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,6.3
Q99519,NEU1,Sialidase-1,,"saliva: 0/0 peptides
parotid gland: 3/0.07 peptides
sm/sl glands: 0/0 peptides",not detected,18.1
Q9HAT2,SIAE,Sialate O-acetylesterase,,"saliva: 115/27.12 peptides
parotid gland: 5/0.11 peptides
sm/sl glands: 0/0 peptides",medium,15.9
Q562F6,SGO2,Shugoshin 2,,"saliva: 24/1.04 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.7
P29353,SHC1,SHC-transforming protein 1,,"saliva: 19/0.59 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,22.4
Q8TBC3,SHKBP1,SH3KBP1-binding protein 1,,"saliva: 2/0.25 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,12.7
Q9H299,SH3BGRL3,SH3 domain-binding glutamic acid-rich-like protein 3,,"saliva: 576/409.08 peptides
parotid gland: 37/8.42 peptides
sm/sl glands: 17/8.82 peptides",medium,36.3
O75368,SH3BGRL,SH3 domain-binding glutamic acid-rich-like protein,,"saliva: 640/352.39 peptides
parotid gland: 0/0 peptides
sm/sl glands: 3/0.44 peptides",medium,34.8
Q8TF17,SH3TC2,SH3 domain and tetratricopeptide repeat-containing protein 2,,"saliva: 98/7.16 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.4
Q9BYB0,SHANK3,SH3 and multiple ankyrin repeat domains protein 3,,"saliva: 95/3.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UPX8,SHANK2,SH3 and multiple ankyrin repeat domains protein 2,,"saliva: 33/1.66 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,12.7
Q9Y566,SHANK1,SH3 and multiple ankyrin repeat domains protein 1,,"saliva: 175/8.8 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,0.9
A6NKC9,SH2D7,SH2 domain-containing protein 7,,"saliva: 106/22.12 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H788,SH2D4A,SH2 domain-containing protein 4A,,"saliva: 15/2.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,16.3
Q8IYR2,SMYD4,SET and MYND domain-containing protein 4,,"saliva: 3/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,14.1
P58004,SESN2,Sestrin-2,,"saliva: 3/0.55 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,14.5
Q15166,PON3,Serum paraoxonase/lactonase 3,,"saliva: 5/1.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P02743,APCS,Serum amyloid P-component,,"saliva: 321/132.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.21 peptides",n/a,n/a
P0DJI8,SAA1,Serum amyloid A-1 protein,,"saliva: 0/0 peptides
parotid gland: 6/0.36 peptides
sm/sl glands: 10/1.54 peptides",?,50.3
A8MTL9,HMSD,Serpin-like protein HMSD,,"saliva: 180/117.33 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,0.6
O75830,SERPINI2,Serpin I2,,"saliva: 42/8.63 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P50453,SERPINB9,Serpin B9,,"saliva: 226/44.71 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,7.5
P50452,SERPINB8,Serpin B8,,"saliva: 539/89.35 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,8.1
P35237,SERPINB6,Serpin B6,,"saliva: 250/38.6 peptides
parotid gland: 19/1.12 peptides
sm/sl glands: 3/0.48 peptides",medium,23.4
P36952,SERPINB5,Serpin B5,,"saliva: 1354/220.71 peptides
parotid gland: 219/11.15 peptides
sm/sl glands: 47/5.67 peptides",low,11.1
P48594,SERPINB4,Serpin B4,,"saliva: 2757/424.82 peptides
parotid gland: 399/21.03 peptides
sm/sl glands: 68/8.41 peptides",not detected,7
P29508,SERPINB3,Serpin B3,,"saliva: 4995/729.89 peptides
parotid gland: 604/31.54 peptides
sm/sl glands: 129/15.89 peptides",not detected,13
Q9UIV8,SERPINB13,Serpin B13,,"saliva: 3838/612.99 peptides
parotid gland: 79/4.46 peptides
sm/sl glands: 9/1.19 peptides",not detected,10.9
Q96P63,SERPINB12,Serpin B12,,"saliva: 0/0 peptides
parotid gland: 4/0.08 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P48595,SERPINB10,Serpin B10,,"saliva: 105/23 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1
P02787,TF,Serotransferrin,,"saliva: 10528/915.24 peptides
parotid gland: 495/20.04 peptides
sm/sl glands: 187/15.39 peptides",not detected,4
O14830,PPEF2,Serine/threonine-protein phosphatase with EF-hands 2,,"saliva: 4/0.45 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O14829,PPEF1,Serine/threonine-protein phosphatase with EF-hands 1,,"saliva: 5/0.8 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BRF8,CPPED1,Serine/threonine-protein phosphatase CPPED1,,"saliva: 36/9.19 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,15.1
Q8NB46,ANKRD52,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,,"saliva: 2/0.19 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,11.6
Q6IN85,PPP4R3A,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,,"saliva: 11/1.39 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8TF05,PPP4R1,Serine/threonine-protein phosphatase 4 regulatory subunit 1,,"saliva: 98/10.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P48454,PPP3CC,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform,,"saliva: 4/0.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q969Q6,PPP2R3C,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma,,"saliva: 5/0.81 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14738,PPP2R5D,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,,"saliva: 52/7.49 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H4A3,WNK1,Serine/threonine-protein kinase WNK1,,"saliva: 15/0.76 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q99986,VRK1,Serine/threonine-protein kinase VRK1,,"saliva: 8/1.07 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,4.8
Q9UKI8,TLK1,Serine/threonine-protein kinase tousled-like 1,,"saliva: 8/0.66 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UHD2,TBK1,Serine/threonine-protein kinase TBK1,,"saliva: 452/42.42 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,15
Q9H2K8,TAOK3,Serine/threonine-protein kinase TAO3,,"saliva: 11/0.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,13.6
Q96Q15,SMG1,Serine/threonine-protein kinase SMG1,,"saliva: 24/0.72 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,4.7
Q9H0K1,SIK2,Serine/threonine-protein kinase SIK2,,"saliva: 53/4.74 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,15.4
Q13523,PRPF4B,Serine/threonine-protein kinase PRP4 homolog,,"saliva: 4/0.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P51956,NEK3,Serine/threonine-protein kinase Nek3,,"saliva: 105/13.9 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q16513,PKN2,Serine/threonine-protein kinase N2,,"saliva: 116/9.01 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5VT25,CDC42BPA,Serine/threonine-protein kinase MRCK alpha,,"saliva: 4/0.2 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P20794,MAK,Serine/threonine-protein kinase MAK,,"saliva: 4/0.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96Q04,LMTK3,Serine/threonine-protein kinase LMTK3,,"saliva: 57/5.12 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9C098,DCLK3,Serine/threonine-protein kinase DCLK3,,"saliva: 3/0.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,1.7
O94806,PRKD3,Serine/threonine-protein kinase D3,,"saliva: 4/0.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q13535,ATR,Serine/threonine-protein kinase ATR,,"saliva: 4/0.12 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,12.5
Q86UX6,STK32C,Serine/threonine-protein kinase 32C,,"saliva: 16/3.84 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,5.6
Q8N1F8,STK11IP,Serine/threonine-protein kinase 11-interacting protein,,"saliva: 5/0.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,5.8
Q9UQ35,SRRM2,Serine/arginine repetitive matrix protein 2,,"saliva: 14/0.1 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,80.8
Q9C0I3,CCSER1,Serine-rich coiled-coil domain-containing protein 1,,"saliva: 28/2.39 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q13315,ATM,Serine-protein kinase ATM,,"saliva: 4/0.13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,15.1
P21549,AGXT,Serine--pyruvate aminotransferase,,"saliva: 4/0.97 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P58062,SPINK7,Serine protease inhibitor Kazal-type 7,,"saliva: 5/1.67 peptides
parotid gland: 0/0 peptides
sm/sl glands: 7/2.15 peptides",n/a,n/a
Q9NQ38,SPINK5,Serine protease inhibitor Kazal-type 5,,"saliva: 1145/40.34 peptides
parotid gland: 57/0.66 peptides
sm/sl glands: 23/0.79 peptides",not detected,18.1
Q92743,HTRA1,Serine protease HTRA1,,"saliva: 0/0 peptides
parotid gland: 11/0.17 peptides
sm/sl glands: 8/0.31 peptides",n/a,n/a
Q9BQR3,PRSS27,Serine protease 27,,"saliva: 670/201.98 peptides
parotid gland: 17/1.63 peptides
sm/sl glands: 4/0.51 peptides",not detected,10
O95084,PRSS23,Serine protease 23,,"saliva: 0/0 peptides
parotid gland: 2/0.04 peptides
sm/sl glands: 4/0.18 peptides",n/a,n/a
Q9UHD8,SEPTIN9,Septin-9,,"saliva: 4/0.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,28.7
Q9HC62,SENP2,Sentrin-specific protease 2,,"saliva: 10/0.97 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,11
Q9NS98,SEMA3G,Semaphorin-3G,,"saliva: 0/0 peptides
parotid gland: 8/0.08 peptides
sm/sl glands: 0/0 peptides",?,13.6
O95025,SEMA3D,Semaphorin-3D,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.04 peptides",?,5.6
P49908,SELENOP,Selenoprotein P,,"saliva: 0/0 peptides
parotid gland: 4/0.08 peptides
sm/sl glands: 2/0.1 peptides",high,19.5
Q9BYH1,SEZ6L,Seizure 6-like protein,,"saliva: 65/11.13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.3
P13521,SCG2,Secretogranin-2,,"saliva: 21/2.53 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,0.9
Q96QR1,SCGB3A1,Secretoglobin family 3A member 1,,"saliva: 0/0 peptides
parotid gland: 5/0.83 peptides
sm/sl glands: 2/0.86 peptides",?,196.6
Q8N474,SFRP1,Secreted frizzled-related protein 1,,"saliva: 0/0 peptides
parotid gland: 13/0.25 peptides
sm/sl glands: 6/0.3 peptides",not detected,73.2
