Q96DA0 3AQG
P55196 1T2M
Q9UHB7 4IMY
P51825 2LM0
P35318 2FLY
Q9HAR2 5CMN
Q01518 1K8F
P30520 2V40
P54819 2C9Y
P23526 1A7A
Q9NZK5 3LGD
P25054 1DEB
P07108 2CB8
Q709F0 2WBI
Q8N3C0 6YXQ
P61158 6UHC
P59998 6UHC
O15144 6UHC
O15143 6UHC
P61160 6UHC
Q86TU7 3SMT
P63261 5JLH
Q8N4X5 2COF
Q13510 5U7Z
O00763 2DN8
Q13085 2YL2
Q9P0M2 4ZP3
Q12802 2DRN
O43572 3IM4
Q76LX8 3GHM
Q9UHI8 2JIH
Q15118 2Q8F
Q7RTP6 2D88
P62424 4UG0
P18124 4UG0
P46777 4UG0
P26373 4UG0
P05387 1S4J
P10809 4PJ1
P52209 2JKV
P08195 2DH2
P08865 3BCH
P62081 4UG0
P46782 4UG0
P61247 4UG0
P23396 1WH9
P39019 4UG0
P62280 4UG0
P49189 6QAK
P32754 3ISQ
Q9HD33 3J7Y
Q9H9J2 3J7Y
Q9NYK5 3J7Y
Q96DV4 3J7Y
P46952 2QNK
P04035 1DQ8
Q9H6S0 2YU6
P82650 3J9M
Q9Y676 3J9M
P82914 3J9M
P51665 2O95
Q13200 5GJQ
P63104 1IB1
P27348 2BTP
P31947 1YWT
P61981 2B05
Q04917 2C63
P62258 2BR9
P31946 2BQ0
Q15029 3JCR
P61604 4PJ1
P16885 2K2J
P19174 1HSQ
Q9Y2I7 7K2V
