UniProt Accession,Entry name,Status,Protein names,Gene names,Organism,Length,3D,Cross-reference (SMR),,
Q94ES8,Q94ES8_PEA,unreviewed,Root nodule extensin (Fragment),,Pisum sativum (Garden pea),195,,,,
A0A1U9W136,A0A1U9W136_PEA,unreviewed,Glycosyltransferase (EC 2.4.1.-),,Pisum sativum (Garden pea),480,,,,
A0A1U9X424,A0A1U9X424_PEA,unreviewed,Amino acid permease 2b-like protein,AAP2b,Pisum sativum (Garden pea),486,,,,
Q9SM62,Q9SM62_PEA,unreviewed,Isovaleryl-CoA Dehydrogenase (Auxin binding protein (Abp44)) (EC 1.3.99.10),abp44/ivdh,Pisum sativum (Garden pea),408,,,,
Q9XGG4,Q9XGG4_PEA,unreviewed,Hexosyltransferase (EC 2.4.1.-),,Pisum sativum (Garden pea),334,,,,
B0LB00,B0LB00_PEA,unreviewed,Aldehyde oxidase 2,AO2,Pisum sativum (Garden pea),1367,,,,
J7K3H4,J7K3H4_PEA,unreviewed,APL (Fragment),,Pisum sativum (Garden pea),174,,,,
Q8H0N3,Q8H0N3_PEA,unreviewed,Nodule inception protein,nin,Pisum sativum (Garden pea),922,,,,
B0M173,B0M173_PEA,unreviewed,Xyloglucan:xyloglucosyl transferase (EC 2.4.1.207) (Fragment),PsEXT5,Pisum sativum (Garden pea),182,,,,
A0A386K1A3,A0A386K1A3_PEA,unreviewed,Sucrose synthase (EC 2.4.1.13) (Fragment),Sus1,Pisum sativum (Garden pea),806,,,,
Q8L5N1,Q8L5N1_PEA,unreviewed,3-methylcrotonyl CoA carboxylase (Fragment),PsMCC,Pisum sativum (Garden pea),223,,,,
Q8RWR7,Q8RWR7_PEA,unreviewed,Anther-specific protein,end1,Pisum sativum (Garden pea),230,,,,
Q41023,Q41023_PEA,unreviewed,Small GTP-binding protein,,Pisum sativum (Garden pea),215,,,,
Q2LGJ0,Q2LGJ0_PEA,unreviewed,ATP synthase gamma subunit (Fragment),ATPC1,Pisum sativum (Garden pea),102,,,,
Q6UEJ1,Q6UEJ1_PEA,unreviewed,Ripening-related protein,,Pisum sativum (Garden pea),159,,,,
A0A2H4UYK0,A0A2H4UYK0_PEA,unreviewed,Putative LysM receptor kinase K1 (Fragment),K1,Pisum sativum (Garden pea),211,,,,
X4YKY6,X4YKY6_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
A0A2H4UYZ0,A0A2H4UYZ0_PEA,unreviewed,Putative LysM receptor kinase (Fragment),sym37,Pisum sativum (Garden pea),211,,,,
W0M5A8,W0M5A8_PEA,unreviewed,PIP1-2,PIP1-2,Pisum sativum (Garden pea),289,,,,
Q6WAY5,Q6WAY5_PEA,unreviewed,Gag/pol polyprotein (Fragment),,Pisum sativum (Garden pea),1105,,,,
Q41051,Q41051_PEA,unreviewed,Proline- and leucine-rich protein,,Pisum sativum (Garden pea),106,,,,
Q93XB0,Q93XB0_PEA,unreviewed,Peroxidase (EC 1.11.1.7) (Fragment),7RA84,Pisum sativum (Garden pea),89,,,,
O04117,O04117_PEA,unreviewed,Dehydrin 2,Dhn2,Pisum sativum (Garden pea),255,,,,
Q8VYX7,Q8VYX7_PEA,unreviewed,"(1->3)-beta-glucan endohydrolase (EC 3.2.1.39) (Beta-1,3-endoglucanase) (Fragment)",,Pisum sativum (Garden pea),101,,,,
A0A3S8ND22,A0A3S8ND22_PEA,unreviewed,SAUR-like auxin-responsive protein,SAUR1,Pisum sativum (Garden pea),100,,,,
A0A0K0KYG1,A0A0K0KYG1_PEA,unreviewed,Starch synthase II (Fragment),rug5,Pisum sativum (Garden pea),163,,,,
Q9XGG9,Q9XGG9_PEA,unreviewed,Ribonuclease H (Fragment),rnaseH,Pisum sativum (Garden pea),33,,,,
Q1I182,Q1I182_PEA,unreviewed,Putative chromatin assembly factor protein (Fragment),FAS2,Pisum sativum (Garden pea),110,,,,
Q6T2D6,Q6T2D6_PEA,unreviewed,ATP synthase subunit a,atp6,Pisum sativum (Garden pea),279,,,,
Q9AVH7,Q9AVH7_PEA,unreviewed,Putative senescence-associated protein,ssa-8,Pisum sativum (Garden pea),90,,,,
Q7DLU9,Q7DLU9_PEA,unreviewed,HMG-I/Y (Fragment),,Pisum sativum (Garden pea),79,,,,
O04434,O04434_PEA,unreviewed,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),PSC450R1,Pisum sativum (Garden pea),704,,,,
Q08145,Q08145_PEA,unreviewed,GTP-binding protein,,Pisum sativum (Garden pea),215,,,,
Q7M215,Q7M215_PEA,unreviewed,Calmodulin,,Pisum sativum (Garden pea),148,,,,
G5EKL7,G5EKL7_PEA,unreviewed,Cytokinin dehydrogenase (EC 1.5.99.12),PsCKX2,Pisum sativum (Garden pea),536,,,,
Q6UGP5,Q6UGP5_PEA,unreviewed,Sat5 (Fragment),,Pisum sativum var. pumilio,31,,,,
A0A6M4EF67,A0A6M4EF67_PEA,unreviewed,Protein Ycf2,ycf2,Pisum sativum (Garden pea),1827,,,,
A0A0F6NG11,A0A0F6NG11_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase chain 4, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase, chain 4) (NADH-plastoquinone oxidoreductase chain 4)",ndhD,Pisum sativum (Garden pea),496,,,,
Q9ZWJ0,Q9ZWJ0_PEA,unreviewed,DNA binding zinc finger protein (Pspzf) (Fragment),Pspzf,Pisum sativum (Garden pea),472,,,,
A0A0H3WD12,A0A0H3WD12_PEA,unreviewed,Cytokinin response regulator 9 (Fragment),,Pisum sativum (Garden pea),136,,,,
Q8H0N0,Q8H0N0_PEA,unreviewed,Nodule inception protein,nin,Pisum sativum (Garden pea),924,,,,
A4UTR8,A4UTR8_PEA,unreviewed,"ADP,ATP carrier protein (Fragment)",,Pisum sativum (Garden pea),280,,,,
Q5NV55,Q5NV55_PEA,unreviewed,Pea phy phytochrome apoprotein,,Pisum sativum (Garden pea),42,,,,
A4PBE4,A4PBE4_PEA,unreviewed,Cytochrome P450 enzyme,CYP85A,Pisum sativum (Garden pea),465,,,,
O81610,O81610_PEA,unreviewed,Sucrose synthase (EC 2.4.1.13),ness,Pisum sativum (Garden pea),806,,,,
D2KKL9,D2KKL9_PEA,unreviewed,Sulfiredoxin (EC 1.8.98.2),Srx,Pisum sativum (Garden pea),129,,,,
Q9AVS3,Q9AVS3_PEA,unreviewed,Trypsin inhibitor,ti9,Pisum sativum (Garden pea),110,,,,
I6ZRV9,I6ZRV9_PEA,unreviewed,Putative LysM receptor kinase (Fragment),K1,Pisum sativum (Garden pea),210,,,,
Q09S70,Q09S70_PEA,unreviewed,Tic21,,Pisum sativum (Garden pea),283,,,,
J7K5G9,J7K5G9_PEA,unreviewed,HB8 (Fragment),,Pisum sativum (Garden pea),550,,,,
A0A1Z2R905,A0A1Z2R905_PEA,unreviewed,Starch synthase II (Fragment),rug5,Pisum sativum (Garden pea),129,,,,
Q76JT3,Q76JT3_PEA,unreviewed,GTP diphosphokinase (EC 2.7.6.5),PsRSH1,Pisum sativum (Garden pea),729,,,,
Q3LSN1,Q3LSN1_PEA,unreviewed,WAT1-related protein (Fragment),,Pisum sativum (Garden pea),204,,,,
D5MAJ3,D5MAJ3_PEA,unreviewed,Photosystem II reaction center protein J (PSII-J),psbJ,Pisum sativum (Garden pea),40,,D5MAJ3;,,
Q9ZPK2,Q9ZPK2_PEA,unreviewed,Sophorol reductase,,Pisum sativum (Garden pea),326,,,,
Q9ST41,Q9ST41_PEA,unreviewed,PRA2,pra2,Pisum sativum (Garden pea),233,,,,
A4PBE5,A4PBE5_PEA,unreviewed,Cytochrome P450 enzyme,CYP90A,Pisum sativum (Garden pea),488,,,,
Q9SQF9,Q9SQF9_PEA,unreviewed,Short-chain alcohol dehydrogenase SAD-C,sadC,Pisum sativum (Garden pea),268,,,,
A0A386K0X5,A0A386K0X5_PEA,unreviewed,Sucrose synthase (EC 2.4.1.13) (Fragment),Sus1,Pisum sativum (Garden pea),806,,,,
O23909,O23909_PEA,unreviewed,Terpene cyclase/mutase family member (EC 5.4.99.-),CASPEA,Pisum sativum (Garden pea),756,,,,
Q8L5C2,Q8L5C2_PEA,unreviewed,Ribonuclease,SN4TDR,Pisum sativum (Garden pea),989,,,,
Q7DMT0,Q7DMT0_PEA,unreviewed,Protein kinase,PK5,Pisum sativum (Garden pea),428,,,,
Q6YBV7,Q6YBV7_PEA,unreviewed,Cryptochrome 2B,CRY2B,Pisum sativum (Garden pea),597,,,,
B0LAZ9,B0LAZ9_PEA,unreviewed,Aldehyde oxidase 1,AO1,Pisum sativum (Garden pea),1373,,,,
Q43624,Q43624_PEA,unreviewed,Proline-rich protein,,Pisum sativum (Garden pea),75,,,,
B0LUQ7,B0LUQ7_PEA,unreviewed,DNA helicase (EC 3.6.4.12),MCM4,Pisum sativum (Garden pea),834,,,,
B8XS02,B8XS02_PEA,unreviewed,NO APICAL MERISTEM1,NAM1,Pisum sativum (Garden pea),375,,,,
Q56NI6,Q56NI6_PEA,unreviewed,MADS box protein M3,,Pisum sativum (Garden pea),243,,,,
D3VND9,D3VND9_PEA,unreviewed,Vicilin 47k,vc-2,Pisum sativum (Garden pea),437,,,,
Q1HK37,Q1HK37_PEA,unreviewed,Putative FAS1 protein (Fragment),FAS1,Pisum sativum (Garden pea),173,,,,
A5Y6J2,A5Y6J2_PEA,unreviewed,LATE BLOOMER 1,LATE1,Pisum sativum (Garden pea),1175,,,,
Q84L18,Q84L18_PEA,unreviewed,Stp-h4,,Pisum sativum (Garden pea),443,,,,
Q56H86,Q56H86_PEA,unreviewed,Amino acid transporter,AAP1,Pisum sativum (Garden pea),482,,,,
Q9XFK0,Q9XFK0_PEA,unreviewed,G protein beta subunit,,Pisum sativum (Garden pea),377,,,,
A0A2H4UYC1,A0A2H4UYC1_PEA,unreviewed,Putative LysM receptor kinase K1 (Fragment),K1,Pisum sativum (Garden pea),211,,,,
A0A1U9X425,A0A1U9X425_PEA,unreviewed,Amino acid permease 7a-like protein (Fragment),AAP7a,Pisum sativum (Garden pea),438,,,,
D3VNE1,D3VNE1_PEA,unreviewed,Vicilin 47k,vc-2,Pisum sativum (Garden pea),438,,,,
A0A0F6NFZ7,A0A0F6NFZ7_PEA,unreviewed,DNA-directed RNA polymerase subunit beta' (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta') (RNA polymerase subunit beta'),rpoC1,Pisum sativum (Garden pea),688,,,,
X4Y582,X4Y582_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
E1C9K9,E1C9K9_PEA,unreviewed,Uncharacterized protein,,Pisum sativum (Garden pea),69,X-ray crystallography (2),,,
Q41038,Q41038_PEA,unreviewed,"Chlorophyll a-b binding protein, chloroplastic",lhaB,Pisum sativum (Garden pea),269,X-ray crystallography (9),Q41038;,,
A0A1U9X404,A0A1U9X404_PEA,unreviewed,Bidirectional sugar transporter 2a-like protein (Fragment),SWEET2a,Pisum sativum (Garden pea),165,,,,
Q3LSN0,Q3LSN0_PEA,unreviewed,WAT1-related protein (Fragment),,Pisum sativum (Garden pea),204,,,,
Q8H0F5,Q8H0F5_PEA,unreviewed,Dof protein 1 (Fragment),PsDof1,Pisum sativum (Garden pea),88,,,,
D3VNE0,D3VNE0_PEA,unreviewed,Vicilin 47k,vc-2,Pisum sativum (Garden pea),441,,,,
D5MAK6,D5MAK6_PEA,unreviewed,DNA-directed RNA polymerase subunit beta' (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta') (RNA polymerase subunit beta'),rpoC1,Pisum sativum (Garden pea),684,,,,
Q9XGG6,Q9XGG6_PEA,unreviewed,Putative tonoplast intrinsic protein,tip1-1,Pisum sativum (Garden pea),250,,Q9XGG6;,,
Q7M1I0,Q7M1I0_PEA,unreviewed,Phytochrome (Fragments),,Pisum sativum (Garden pea),38,,,,
Q9ZSQ2,Q9ZSQ2_PEA,unreviewed,Lipoxygenase (EC 1.13.11.-) (Fragment),LoxN3,Pisum sativum (Garden pea),492,,,,
A0A1U9X3Y5,A0A1U9X3Y5_PEA,unreviewed,Cytokinin dehydrogenase (EC 1.5.99.12),CKX7,Pisum sativum (Garden pea),509,,,,
A0A0K1U4H3,A0A0K1U4H3_PEA,unreviewed,Sulfate transporter 3.3-like protein,Sultr3.3,Pisum sativum (Garden pea),654,,,,
Q49KD2,Q49KD2_PEA,unreviewed,Transposase (Fragment),,Pisum sativum (Garden pea),128,,,,
B7SQA2,B7SQA2_PEA,unreviewed,Putative LysM receptor kinase SYM37B,Sym37,Pisum sativum (Garden pea),619,,,,
Q8RVT8,Q8RVT8_PEA,unreviewed,ATP diphosphohydrolase,,Pisum sativum (Garden pea),473,,,,
A0A2H4KDG1,A0A2H4KDG1_PEA,unreviewed,Ubiquinol oxidase (EC 1.10.3.11) (Fragment),,Pisum sativum (Garden pea),167,,,,
O22636,O22636_PEA,unreviewed,Peptidylprolyl isomerase (EC 5.2.1.8),,Pisum sativum (Garden pea),454,,,,
Q9ZRM7,Q9ZRM7_PEA,unreviewed,Lectin (Fragment),,Pisum sativum (Garden pea),96,,,,
A2ICP9,A2ICP9_PEA,unreviewed,GTP-binding nuclear protein,,Pisum sativum (Garden pea),221,,A2ICP9;,,
U6C7B3,U6C7B3_PEA,unreviewed,Maturase (Fragment),matK,Pisum sativum (Garden pea),309,,,,
Q9LKL6,Q9LKL6_PEA,unreviewed,DEAD box protein P68,P68,Pisum sativum (Garden pea),622,,Q9LKL6;,,
O49927,O49927_PEA,unreviewed,p54 protein,p54,Pisum sativum (Garden pea),483,,,,
Q84UI7,Q84UI7_PEA,unreviewed,Pectinesterase (EC 3.1.1.11),Pspme2,Pisum sativum (Garden pea),553,,,,
A0A1U9X429,A0A1U9X429_PEA,unreviewed,Amino acid permease 2a-like protein (Fragment),AAP2a,Pisum sativum (Garden pea),400,,,,
Q9SEW2,Q9SEW2_PEA,unreviewed,Phytochrome B (Fragment),PHYB,Pisum sativum (Garden pea),1121,,,,
Q9SQJ3,Q9SQJ3_PEA,unreviewed,Short-chain alcohol dehydrogenase,sadA,Pisum sativum (Garden pea),268,,,,
Q43079,Q43079_PEA,unreviewed,Cell wall invertase (EC 3.2.1.26),bfruct1,Pisum sativum (Garden pea),582,,,,
D3H5H9,D3H5H9_PEA,unreviewed,Blue copper binding protein (Fragment),,Pisum sativum (Garden pea),62,,,,
Q6H3E0,Q6H3E0_PEA,unreviewed,Heavy metal-induced protein 6B,,Pisum sativum (Garden pea),116,,,,
L7V0B0,L7V0B0_PEA,unreviewed,Histone H1 subtype 6,His6,Pisum sativum (Garden pea),199,,,,
A0A1U9X412,A0A1U9X412_PEA,unreviewed,Bidirectional sugar transporter 15c-like protein (Fragment),SWEET15c,Pisum sativum (Garden pea),70,,,,
O49924,O49924_PEA,unreviewed,Germin-like protein (Fragment),,Pisum sativum (Garden pea),107,,,,
A0A1Z2TIV8,A0A1Z2TIV8_PEA,unreviewed,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase),agpl,Pisum sativum (Garden pea),507,,,,
A0A238U3J9,A0A238U3J9_PEA,unreviewed,"(1->3)-beta-glucan endohydrolase (EC 3.2.1.39) (Beta-1,3-endoglucanase)","Pea beta-1,3-glucanase",Pisum sativum (Garden pea),370,,,,
Q5ZEY1,Q5ZEY1_PEA,unreviewed,Seed albumin 2 (Fragment),pa2,Pisum sativum (Garden pea),51,,,,
Q66PF9,Q66PF9_PEA,unreviewed,Monodehydroascorbate reductase I (EC 1.6.5.4),MDHAR1,Pisum sativum (Garden pea),433,,,,
I6PCQ6,I6PCQ6_PEA,unreviewed,Tryptophan aminotransferase-like protein 2,TAR2,Pisum sativum (Garden pea),445,,,,
Q52ZP4,Q52ZP4_PEA,unreviewed,FPA-like protein (Fragment),,Pisum sativum (Garden pea),104,,,,
Q8S4X0,Q8S4X0_PEA,unreviewed,Embryo-abundant protein EMB,,Pisum sativum (Garden pea),261,,,,
A0A386K0Z2,A0A386K0Z2_PEA,unreviewed,Sucrose synthase (EC 2.4.1.13) (Fragment),Sus1,Pisum sativum (Garden pea),806,,,,
A0A1U9X3Z3,A0A1U9X3Z3_PEA,unreviewed,Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1),LOG8,Pisum sativum (Garden pea),217,,,,
Q52ZP7,Q52ZP7_PEA,unreviewed,Myb1 (Fragment),,Pisum sativum (Garden pea),139,,,,
Q9M6C5,Q9M6C5_PEA,unreviewed,Isoflavone synthase 1 (Fragment),ifs1,Pisum sativum (Garden pea),521,,,,
A4PBE6,A4PBE6_PEA,unreviewed,Cytochrome P450 enzyme,CYP90A,Pisum sativum (Garden pea),472,,,,
I6PBS1,I6PBS1_PEA,unreviewed,Tryptophan aminotransferase-like protein 3,TAR3,Pisum sativum (Garden pea),386,,,,
X4Y586,X4Y586_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
Q9FEU3,Q9FEU3_PEA,unreviewed,Putative serine carboxypeptidase (Fragment),cp-a,Pisum sativum (Garden pea),111,,,,
Q9FEW5,Q9FEW5_PEA,unreviewed,"Ribulose 1,5 bisphosphate carboxylase (EC 4.1.1.39) (Fragment)",RuBP,Pisum sativum (Garden pea),58,,,,
Q9FEQ3,Q9FEQ3_PEA,unreviewed,Lipoxygenase (EC 1.13.11.-),lox1:Ps:7,Pisum sativum (Garden pea),865,,,,
Q9AVS1,Q9AVS1_PEA,unreviewed,Putative trypsin inhibitor,ti6,Pisum sativum (Garden pea),133,,,,
F8T951,F8T951_PEA,unreviewed,Fasciclin-like arabinogalactan 2,FLA2,Pisum sativum (Garden pea),433,,,,
Q5I8X1,Q5I8X1_PEA,unreviewed,"Chlorophyll a-b binding protein, chloroplastic",,Pisum sativum (Garden pea),265,,,,
O24294,O24294_PEA,unreviewed,Legumin (Minor small),legS,Pisum sativum (Garden pea),566,,,,
B6RPT1,B6RPT1_PEA,unreviewed,"Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating) (EC 1.1.1.44) (Fragment)",PGDH,Pisum sativum (Garden pea),152,,,,
Q9AVI1,Q9AVI1_PEA,unreviewed,Putative senescence-associated protein (Fragment),ssa-3,Pisum sativum (Garden pea),221,,,,
A0A1U9X428,A0A1U9X428_PEA,unreviewed,Amino acid permease 2d-like protein (Fragment),AAP2d,Pisum sativum (Garden pea),93,,,,
Q5NV54,Q5NV54_PEA,unreviewed,Pea phy phytochrome apoprotein,,Pisum sativum (Garden pea),15,,,,
Q5MAR0,Q5MAR0_PEA,unreviewed,MADS box transcription factor PEAM1,,Pisum sativum (Garden pea),181,,,,
O82708,O82708_PEA,unreviewed,Pre-pro-TPE4A protein,tpE4A,Pisum sativum (Garden pea),360,,,,
X4XYR3,X4XYR3_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
B0M170,B0M170_PEA,unreviewed,Xyloglucan:xyloglucosyl transferase (EC 2.4.1.207) (Fragment),PsEXT2,Pisum sativum (Garden pea),182,,,,
A0A1Z1W1X3,A0A1Z1W1X3_PEA,unreviewed,Sym37 receptor-like kinase,Sym37,Pisum sativum (Garden pea),617,,,,
K9W8I0,K9W8I0_PEA,unreviewed,Putative NBS-LRR type disease resistance protein (Fragment),RGA,Pisum sativum (Garden pea),170,,,,
Q9XGG7,Q9XGG7_PEA,unreviewed,Nodulin26-like intrinsic protein,nip-1,Pisum sativum (Garden pea),270,,,,
A0A0F6NG02,A0A0F6NG02_PEA,unreviewed,"30S ribosomal protein S18, chloroplastic",rps18,Pisum sativum (Garden pea),110,,A0A0F6NG02;,,
L7V1C7,L7V1C7_PEA,unreviewed,Histone H1 subtype 6,His6,Pisum sativum (Garden pea),205,,,,
Q76KW0,Q76KW0_PEA,unreviewed,Peroxidase (EC 1.11.1.7) (Fragment),PRX,Pisum sativum (Garden pea),271,,,,
D5MAK9,D5MAK9_PEA,unreviewed,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp),clpP,Pisum sativum (Garden pea),199,,,,
O82041,O82041_PEA,unreviewed,Heat shock transcription factor (HSFA) (Fragment),hsfA,Pisum sativum (Garden pea),95,,,,
F7J694,F7J694_PEA,unreviewed,Leucine-rich repeat receptor-like protein,Clavata2,Pisum sativum (Garden pea),772,,,,
A3FF19,A3FF19_PEA,unreviewed,Phloem specific protein (Fragment),,Pisum sativum (Garden pea),123,,,,
Q8HSZ1,Q8HSZ1_PEA,unreviewed,Photosystem II D2 protein (Fragment),psbD,Pisum sativum (Garden pea),319,,,,
Q9M6R7,Q9M6R7_PEA,unreviewed,Extensin,Ext,Pisum sativum (Garden pea),327,,,,
A1IVX0,A1IVX0_PEA,unreviewed,Putative glutamate dehydrogenase (EC 1.4.1.2) (Fragment),gdh,Pisum sativum (Garden pea),199,,,,
Q52ZI4,Q52ZI4_PEA,unreviewed,Expressed protein,,Pisum sativum (Garden pea),265,,,,
A0A1U9X400,A0A1U9X400_PEA,unreviewed,Two-component response regulator 5-like protein (Fragment),ARR5,Pisum sativum (Garden pea),115,,,,
O82137,O82137_PEA,unreviewed,B-like cyclin (Fragment),cycB1,Pisum sativum (Garden pea),235,,,,
Q9AR81,Q9AR81_PEA,unreviewed,Germin-like protein,glp3,Pisum sativum (Garden pea),211,,,,
Q76KW3,Q76KW3_PEA,unreviewed,Hydroxyproline-rich glycoprotein-2 (Fragment),HRGP-2,Pisum sativum (Garden pea),155,,,,
Q76FR7,Q76FR7_PEA,unreviewed,Uncharacterized protein PsOPR6,PsOPR6,Pisum sativum (Garden pea),362,,,,
Q9AUH7,Q9AUH7_PEA,unreviewed,UVI1,Uvi1,Pisum sativum (Garden pea),100,,,,
A0A2H4UYP0,A0A2H4UYP0_PEA,unreviewed,Putative LysM receptor kinase (Fragment),LykX,Pisum sativum (Garden pea),212,,,,
B7Z178,B7Z178_PEA,unreviewed,Polygalacturonase inhibiting protein,pgip,Pisum sativum (Garden pea),339,,,,
Q4VYF5,Q4VYF5_PEA,unreviewed,Non-specific serine/threonine protein kinase (EC 2.7.11.1),snrk1,Pisum sativum (Garden pea),509,,,,
A0A142L096,A0A142L096_PEA,unreviewed,Indole-3-acetyl-amido synthetase,GH3,Pisum sativum (Garden pea),600,,,,
A0A1U9X3Z7,A0A1U9X3Z7_PEA,unreviewed,Cytokinin oxidase/dehydrogenase 5-like protein (Fragment),CKX5,Pisum sativum (Garden pea),273,,,,
A0A0K0L1X9,A0A0K0L1X9_PEA,unreviewed,Beta-amylase (EC 3.2.1.2) (Fragment),,Pisum sativum (Garden pea),173,,,,
Q8SJY8,Q8SJY8_PEA,unreviewed,Ribosomal protein S4 (Fragment),rps4,Pisum sativum (Garden pea),135,,,,
Q9SB19,Q9SB19_PEA,unreviewed,Ubiquitin,PUB4,Pisum sativum (Garden pea),381,,Q9SB19;,,
O49022,O49022_PEA,unreviewed,DNA (cytosine-5)-methyltransferase (EC 2.1.1.37),,Pisum sativum (Garden pea),1554,,,,
A0A4D6FW22,A0A4D6FW22_PEA,unreviewed,Acetyl-CoA carboxylase beta subunit (Fragment),accD,Pisum sativum (Garden pea),528,,,,
Q41041,Q41041_PEA,unreviewed,Outer envelope membrane protein,OM14,Pisum sativum (Garden pea),65,,,,
Q41057,Q41057_PEA,unreviewed,Cysteine protease,,Pisum sativum (Garden pea),350,,,,
O65335,O65335_PEA,unreviewed,SAR DNA-binding protein-2,SARBP-2,Pisum sativum (Garden pea),550,,,,
Q5MJ54,Q5MJ54_PEA,unreviewed,AT-rich element binding factor 2,ATF2,Pisum sativum (Garden pea),218,,,,
O82532,O82532_PEA,unreviewed,Signal recognition particle 54 kDa subunit (Fragment),Ffc,Pisum sativum (Garden pea),525,,,,
A0A0K0KZR6,A0A0K0KZR6_PEA,unreviewed,Chloroplast pullulanase 1-like protein (Fragment),,Pisum sativum (Garden pea),63,,,,
Q6XAF4,Q6XAF4_PEA,unreviewed,Ent-kaurene oxidase,LH,Pisum sativum (Garden pea),499,,Q6XAF4;,,
Q5NJL5,Q5NJL5_PEA,unreviewed,Late embryogenesis abundant protein,lea,Pisum sativum (Garden pea),358,,,,
Q43821,Q43821_PEA,unreviewed,Ubiquitin conjugating enzyme (EC 6.3.2.19),UBC4,Pisum sativum (Garden pea),148,,,,
Q7YET8,Q7YET8_PEA,unreviewed,Ribosomal protein S12,rps12,Pisum sativum (Garden pea),125,,,,
A0A386K171,A0A386K171_PEA,unreviewed,Sucrose synthase (EC 2.4.1.13) (Fragment),Sus1,Pisum sativum (Garden pea),806,,,,
A1IVX1,A1IVX1_PEA,unreviewed,Glutamine synthetase (EC 6.3.1.2),gs,Pisum sativum (Garden pea),356,,,,
B3GNI3,B3GNI3_PEA,unreviewed,DNA helicase (EC 3.6.4.12),MCM5,Pisum sativum (Garden pea),732,,,,
Q1I184,Q1I184_PEA,unreviewed,WD-40 repeat protein,MSI1,Pisum sativum (Garden pea),425,,,,
E1C9L3,E1C9L3_PEA,unreviewed,PSI-K (Photosystem I subunit X),,Pisum sativum (Garden pea),84,X-ray crystallography (4),,,
Q8LLW1,Q8LLW1_PEA,unreviewed,Phosphoinositide phospholipase C (EC 3.1.4.11),,Pisum sativum (Garden pea),594,,,,
Q9SC38,Q9SC38_PEA,unreviewed,Germin-like protein (Fragment),ger2b,Pisum sativum (Garden pea),195,,,,
Q3LI85,Q3LI85_PEA,unreviewed,Allene oxide synthase (Fragment),aos,Pisum sativum (Garden pea),340,,,,
Q9ZRG1,Q9ZRG1_PEA,unreviewed,B-like cyclin (Fragment),PsCyc1,Pisum sativum (Garden pea),257,,,,
V5J3A1,V5J3A1_PEA,unreviewed,COLe (Fragment),,Pisum sativum (Garden pea),245,,,,
A0A1U9X417,A0A1U9X417_PEA,unreviewed,Bidirectional sugar transporter SWEET,SWEET12,Pisum sativum (Garden pea),256,,,,
Q32907,Q32907_PEA,unreviewed,Intron_maturas2 domain-containing protein (Fragment),,Pisum sativum (Garden pea),89,,,,
Q40979,Q40979_PEA,unreviewed,HSP70b (Fragment),,Pisum sativum (Garden pea),161,,,,
K9W6I4,K9W6I4_PEA,unreviewed,Putative NBS-LRR type disease resistance protein (Fragment),RGA,Pisum sativum (Garden pea),170,,,,
Q9SSY8,Q9SSY8_PEA,unreviewed,Hsr203J homolog,,Pisum sativum (Garden pea),339,,,,
Q93YB2,Q93YB2_PEA,unreviewed,Aminoaldehyde dehydrogenase,amadh2,Pisum sativum (Garden pea),503,X-ray crystallography (1),Q93YB2;,,
V5J444,V5J444_PEA,unreviewed,HYL1 (Fragment),,Pisum sativum (Garden pea),36,,,,
Q08153,Q08153_PEA,unreviewed,GTP-binding protein,,Pisum sativum (Garden pea),202,,,,
Q9SC34,Q9SC34_PEA,unreviewed,Putative cysteine protease (Fragment),plp,Pisum sativum (Garden pea),286,,,,
Q76KV8,Q76KV8_PEA,unreviewed,Short-chain alcohol dehydrogenase A (Fragment),sadA,Pisum sativum (Garden pea),277,,,,
Q9SPZ5,Q9SPZ5_PEA,unreviewed,Putative NBS-LRR type disease resistance protein (Fragment),RGA2.23,Pisum sativum (Garden pea),158,,,,
Q9FVK8,Q9FVK8_PEA,unreviewed,Trans-cinnamic acid hydroxylase (Fragment),CYP73A9,Pisum sativum (Garden pea),332,,,,
X4Y7Y3,X4Y7Y3_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),227,,,,
Q105A0,Q105A0_PEA,unreviewed,Isoamylase isoform 3,,Pisum sativum (Garden pea),736,,Q105A0;,,
X4XYN0,X4XYN0_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),227,,,,
